Unique ID,Brief description of event,State,District,Type of Event,Date of event,Number of Participants,Uploaded Geotag Photo,Uploaded Video Clip,Zoo_Name
96,"Documentation of Waste Management Garden. Various kind of waste materials like old tyres, old mineral water bottles, old glass bottles, old pvc pipes, old jeans pant, old cycle rim, old plastic chair, old umbrella etc were used for garden creation.",Odisha (OD),Khordha,Action & Awareness both,45052,6,Best from Waste,Waste Management Garden,Nandankanan ZP
154,Creation of new benches and sit out for visitors.,Odisha (OD),Khordha,Awareness,45053,20,Eco friendly wooden sit outs,Eco friendly wooden sit outs,Nandankanan ZP
808,"one plastic regulation centre is there in front of entry gate, where one can deposit an amount of Rs. 50/- ( refundable) amount per bottle, get a non- tearable sticker pasted on each bottle, which after returning bottle, the visitors can take the refundable amount.",Odisha (OD),Khordha,Awareness,45055,10,Plastic Regulation Centre,Plastic Regulation Centre at Nandankanan,Nandankanan ZP
3557,"A Bambusetum is created which is under progress where one can see more than 50 species of Bamboos. Bamboo produce more oxygen and absorbs more carbon dioxide than trees, which means that each and every bamboo shoot is doing its part to combat climate change.",Odisha (OD),Khordha,Awareness,45056,5,Bambusetum,Bambusetum- A Garden of Paradise,Nandankanan ZP
8069,An awareness programme was conducted with staff and employees of Nandankanan to aware about Life programme,Odisha (OD),Khordha,Action & Awareness both,45057,30,Awareness programme on Mission Life,Awareness program on Life,Nandankanan ZP
23317,An awareness programme was conducted at Nandankanan to aware about the best out of waste.,Odisha (OD),Khordha,Action & Awareness both,45058,25,Best out of Waste,Best out of Waste Materials,Nandankanan ZP
10679,"The following programs were initiated on 7-5-2023
 1. Healthy lifestyles Adopted â€“ (Creature Features) on topic Avoid purchasing products made from skin, tuskers and fur of Wild Animals.
 2. Healthy lifestyles Adopted â€“ Topic on Biodiversity Conservation along with a Butterfly Trail.",Andhra Pradesh (AP),Vishakhapatnam,Awareness,45053,100,Healthy lifestyles Adopted,Healthy lifestyles Adopted,Indira Gandhi ZP
22280,"Event: Pledge and Rally
 The Zoo staff members, pledged to adopt Life movement in their day -today- life, stating on Life mission pledge to make any possible changes in our daily lifestyle to protect the environment.",Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45058,120,Pledge and Rally,Pledge and Rally video,Indira Gandhi ZP
137,An interactive education session was conducted for visitors of all age groups. Few ways as to how we could alter our lifestyle for environment was explained to visitors and a game on waste segregation was conducted so that visitors could get hands on experience and all participants took the pledge,Karnataka (KA),Bangalore Rural,Awareness,45053,350,"Awareness, game and pledge on LiFE",,Bannerghatta BP
654,79 visitors availed free entry to butterfly park as part of the Lifestyle for Environment campaign to promote more people to use public transport,Karnataka (KA),Bangalore Rural,Awareness,45054,79,Free entry for public transport users,,Bannerghatta BP
11360,"Awareness session by Range Forest Officers on Lifestyle for Environment for staff, to contribute towards the LiFE goals and to spread the message with visitors",Karnataka (KA),Bangalore Rural,Awareness,45057,30,Awareness session for staff,,Bannerghatta BP
24268,Plastic drive and planting of butterfly host plant by volunteer. Awareness session conducted in association with Pollution Board staff for zoo visitors and staff,Karnataka (KA),Bangalore Rural,Action & Awareness both,45058,55,,,Bannerghatta BP
87,Arignar Anna Zoological Park  organised an educational session on 75 sustainable lifestyle practices under   #missionlife#proplanetpeople programme. Zoo ambassador & their family members took part in this event and took a pledge to practice environmentally friendly habits#lifestyleforenvironment,Tamil Nadu (TN),Chennai,Action & Awareness both,45051,170,Awareness and action session on mission life,mission life,Arignar Anna ZP
257,AAZP in coordination with Agurchand Manmull Jain College. Meenambakkam- Rotary club conducted a mass- cleanliness drive in the Park. 250 students participated in the event.  At end of the event they also felicitated  50 senior animal keepers of the zoo.,Tamil Nadu (TN),Chennai,Action & Awareness both,45052,250,cleanliness drive,Awareness by students,Arignar Anna ZP
6010,cleaniliness drive and pledge by zoo staff,Uttarakhand (UK),Nainital,Action & Awareness both,45056,32,Cleanliness Activity,Oath,Pt. Gobind Pant HAZ
30990,Awareness program for school children. Pledge taken by school children and teachers,Uttarakhand (UK),Nainital,Awareness,45059,24,Awareness,Pledge,Pt. Gobind Pant HAZ
31044,Awareness program for school children. Pledge taken by school children and teachers,Uttarakhand (UK),Nainital,Awareness,45059,26,Awareness,Pledge,Pt. Gobind Pant HAZ
8507,Lifestyle for Environment event highlighting sustainable practices and environmental awareness.,Gujarat (GJ),Vadodara,Awareness,45055,30,Event Pictures,,Sayaji Baug Zoo
300,awareness campaign on how to save energy in the zoo premises. Visitors were guided about the importance of energy in life and ways to save energy were discussed.,Punjab (PB),Ludhiana,Action & Awareness both,45053,30,Awareness Campaign at the zoo,Awareness Campaign at the zoo,Ludhiana Zoo
303,Awareness Campaign On How To Save Energy In The Zoo Premises. Visitors Were Guided About The Importance Of Energy In Life And Ways To Save Energy Were Discussed.,Punjab (PB),Ludhiana,Action & Awareness both,45054,21,Awareness Campaign at the zoo,Awareness Campaign at the zoo,Ludhiana Zoo
833,Awareness campaign at nearby school about ban on single use plastic,Punjab (PB),Ludhiana,Action & Awareness both,45055,49,Awareness Campaign at the school,Awareness Campaign at the school,Ludhiana Zoo
10784,Plastic Cleanup Campaign inside Kanjli Wetland and in nearby school.,Punjab (PB),Kapurthala,Action & Awareness both,45056,50,Plastic Cleanup Campaign in nearby school.,Plastic Cleanup Campaign in nearby school.,Ludhiana Zoo
21353,Awareness camp at nearby school.,Punjab (PB),Kapurthala,Action & Awareness both,45057,45,Awareness Camp at the school,Awareness Camp at the school,Ludhiana Zoo
21452,Cleaning of wetland in association with children of nearby schools.,Punjab (PB),Kapurthala,Action & Awareness both,45058,40,Cleaning of Wetland,Cleaning of Wetland,Ludhiana Zoo
27677,Back to basics: Promoting a healthy lifestyle by conducting activities that requires only nature & creativity. Participants were a group of moms & kids who enthusiastically completed the tasks given. They were asked to make structures out of sand and seashells. The pictures speak for themselves!,Tamil Nadu (TN),Chennai,Action & Awareness both,45057,27,Moms & kids letting their creativity run free!,,Arignar Anna ZP
28326,Contest Alert! Croc Bank has a mission for all the young herpetologists this summer. Participants between ages 6 to 14 have to make their favourite reptile and get featured on our social media pages. The submission deadline is 24th May.,Tamil Nadu (TN),Chennai,Action & Awareness both,45057,,Contest Poster,,Arignar Anna ZP
10680,Universal College and ITI of Patran town from District Patiala visited Chhatbir Zoo for the special event on Lifestyle for the environment.,Punjab (PB),Ajitgarh (Mohali),Action & Awareness both,45050,110,Cleanliness drive and awareness campaign,,Mahendra Chaudhary ZP
10708,RFO trainees who visited Chhatbir zoo on 05.04.2023 were engaged for a special session on mission LIFE.,Punjab (PB),Ajitgarh (Mohali),Awareness,45051,50,Awareness session on mission LIFE,,Mahendra Chaudhary ZP
10763,A class of 1st year BVSc. from RAMPURA PHOOL. A special session on mission LIFE was conducted by the zoo vets.,Punjab (PB),Ajitgarh (Mohali),Awareness,45057,75,Mission LIFE awareness for VETS,,Mahendra Chaudhary ZP
34966,Awareness campaign done with Rural area school from Mansa with 100 students. World migratory birds day along with mission LIFE,Punjab (PB),Ajitgarh (Mohali),Action & Awareness both,45059,100,Awareness session,Having pledge,Mahendra Chaudhary ZP
35093,"As part of Life Mission Program, today the program was conducted on theme Reduce Single Use Plastic - Visitors Awareness Session.",Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45059,70,Reduce Single Use Plastic,,Indira Gandhi ZP
35207,Healthy lifestyles Adopted – on topic Biodiversity Conservation along with a Butterfly Trail,Andhra Pradesh (AP),Vishakhapatnam,Action & Awareness both,45059,50,1. Healthy lifestyles Adopted,,Indira Gandhi ZP
2494,"Under 'Mission Life', information was given to the students, workers and tourists in the premises of the Lucknow Zoo and information about the bad effects of plastic on the environment and wildlife was given by the Education Officer of the Lucknow Zoo, Mrs. Neena Kumar in the Education center.",Uttar Pradesh (UP),Lucknow,Awareness,45055,175,Awareness Programme on my life,,Nawab Wajid Ali Shah ZG
3551,"Today, the tourists coming to Lucknow Zoo on save water under Mission Life were informed and made aware by Education Officer Mrs. Neena Kumar.",Uttar Pradesh (UP),Lucknow,Awareness,45056,55,Awareness Programme on my life,,Nawab Wajid Ali Shah ZG
11560,"Today, in the awareness program of Mission LiFE, it was told that every person has responsibility towards the environment. We should fulfill it.",Uttar Pradesh (UP),Lucknow,Awareness,45057,125,Awareness program,Awareness program,Nawab Wajid Ali Shah ZG
11562,"Today, in the awareness program of Mission LiFE, it was told that every person has responsibility towards the environment. We should fulfill it.",Uttar Pradesh (UP),Lucknow,Awareness,45057,125,Awareness program,Awareness program,Nawab Wajid Ali Shah ZG
